ProjectState,Loan Ct,Total Dollars (Billions)
CA,127150,67.73748476742925
TX,74284,39.333950230279626
NY,71699,40.264495563169675
FL,58519,27.437596631209725
IL,40090,22.787215921349908
PA,37676,20.812621020069894
OH,31970,18.165309370489997
NJ,31623,16.973570637250074
MI,29240,16.103560890990057
MA,26862,14.414664183690046
GA,25173,12.76602769663006
WA,23199,12.355406427900048
VA,22796,11.967809237220017
NC,22294,10.84991637509002
CO,19385,9.820637158110044
MN,19339,11.085186518650026
MD,18561,9.927520117019986
WI,17119,9.526942054490034
IN,16328,9.128509958319993
MO,16004,8.585240012080025
TN,15551,8.030806390400024
AZ,15405,7.909804792480005
LA,13377,7.268453497090016
OR,13187,6.661417830240012
CT,12615,6.5145435490700105
AL,10672,5.45400149416001
SC,10499,4.976137350140007
OK,9835,5.097945444140001
UT,9101,4.7296919835999995
KY,8996,4.944967299840012
IA,8145,4.54354356532
NV,8041,4.020068552559998
KS,8036,4.613144693379994
AR,5750,2.7319189394099963
NE,5697,2.9926684641800008
MS,5348,2.6026879428699963
NH,4982,2.4331236486799996
HI,4895,2.563662172599999
NM,4391,2.1707137257699998
ID,4323,2.0955652538399994
DC,4240,2.430565240530001
ME,4129,2.0156975231599974
RI,3719,1.8949601823399977
WV,3282,1.675619943579999
ND,3162,1.6999389689599984
MT,3093,1.4436086757300002
DE,2920,1.469055954899997
PR,2817,1.4262345583799998
SD,2648,1.3950559056100005
AK,2599,1.2974359511799962
VT,2234,1.1191545061599997
WY,2115,0.9655802429700007
GU,425,0.18399262393000002
VI,273,0.10772264795999999
MP,80,0.035543287820000005
AS,18,0.00532955712
