ProjectState,Loan Ct,Total Dollars (Billions)
CA,875270,29.228484296520215
FL,654515,18.054453958098073
TX,626890,18.784117935458557
NY,516512,16.35968517037004
IL,414387,11.192737524190177
GA,300071,8.076475594949013
PA,239257,8.038396848279435
OH,226495,7.10726719218913
NJ,218881,7.295243663459726
MI,188616,6.525967111449281
NC,180673,5.727877178769812
MO,172754,4.301032948030153
MN,171326,4.686912042439884
MA,161412,5.705881441299606
VA,157800,5.145347491410019
TN,155275,4.2871103398201305
CO,150596,4.697878859319936
WA,146880,5.145524441949966
WI,141033,4.100504039260118
IA,138420,3.0730463955594844
LA,129285,3.6096261624600707
MD,127502,4.160534459930141
IN,127231,3.8713402459400745
OK,120481,2.8546388092097583
AZ,117336,3.70806390016015
AL,109231,3.0562773308500484
KS,101937,2.434837622059532
SC,95273,2.8958329262800646
KY,94733,2.4624499673896474
NE,93432,2.1012848072896215
CT,90471,2.98651388827007
OR,90215,3.0634372996501127
MS,81589,1.9689892449298325
NV,71076,2.079999100249965
AR,70992,1.84430513150977
UT,67281,2.1314391702199753
PR,57492,1.1638701877700055
SD,52928,1.1832115132701087
ID,42229,1.281890120440014
ND,41984,1.0425977914401077
ME,39068,1.1219723066900167
MT,38764,1.049113259950055
HI,35194,1.133442943160002
NH,32751,1.1606721229900092
NM,31478,1.068241500320018
RI,25959,0.8792126995500107
WV,25487,0.8195550052700148
WY,21421,0.6254987676399986
DC,18119,0.6605174371799974
AK,18088,0.6492353674000277
DE,18002,0.6293816130700003
VT,17426,0.5877693914600007
GU,2885,0.09381430617000004
VI,2566,0.07818749492000003
MP,800,0.02649873495000001
AS,284,0.0064506167
AE,2,4.0525e-05
